id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2025-05-21,CLIENTE-016,Mouse,Perifericos,Centro-Oeste,2,102.9
2,2025-04-30,Cliente_033,Notebook,Computadores,Centro-Oeste,1,3073.38
3,2025-01-04,Cliente_049,Teclado,Perifericos,Nordeste,5,273.21
4,2025-07-03,Cliente_023,Notebook,Computadores,Centro-Oeste,2,3373.92
5,2025-11-18,Cliente_040,Notebook,Computadores,Nordeste,9,3282.84
6,2025-07-14,Cliente_018,Notebook,Computadores,Sudeste,4,3884.81
7,2025-05-06,Cliente_011,Teclado,Perifericos,Nordeste,3,252.56
8,2025-01-17,Cliente_021,Headset,Perifericos,Sul,1,321.55
9,2025-11-26,Cliente_030,Mouse,Perifericos,Centro-Oeste,8,116.24
10,2025-03-12,Cliente_033,Teclado,Perifericos,Centro-Oeste,7,239.65
11,DATA INVALIDA,Cliente_030,Teclado,Perifericos,Norte,2,241.36
12,2025-06-24,Cliente_008, Headset ,Perifericos,Norte,5,378.2
13,2025-02-24,Cliente_041,Headset,Perifericos,Norte,3,350.81
14,2025-11-03,Cliente_021,Headset,Perifericos,Sul,9,393.94
15,2025-02-10,Cliente_006,Notebook,Computadores,Centro-Oeste,4,3896.91
16,2025-11-07,Cliente_028,Teclado,Perifericos,Centro-Oeste,3,232.38
17,2025-09-22,Cliente_029,Mouse,Perifericos,Sul,6,117.77
18,2025-01-31,Cliente_015,Notebook,Computadores,Centro-Oeste,2,
19,2025-10-20,CLIENTE-037,Smartphone,Celulares,Centro-Oeste,9,1957.33
20,2025-01-28,Cliente_044,Tablet,Celulares,Sudeste,7,1752.0
21,2025-08-18,Cliente_009,Smartphone,Celulares,Norte,4,1995.54
22,2025-10-04,Cliente_001,Notebook,Computadores,Sul,1,3659.75
23,2025-03-26,Cliente_025,Headset,Perifericos,Norte,,392.26
24,2025-06-01,CLIENTE-014,Mouse,Perifericos,Norte,8,107.57
25,2025-09-29,CLIENTE-011,Monitor,Computadores,Sul,9,1350.98
26,2025-10-19,Cliente_016,Monitor,Computadores,Nordeste,2,
27,2025-06-10,Cliente_016,Tablet,Celulares,Sudeste,4,1891.65
28,2025-10-16,Cliente_007,Notebook,Computadores,Sul,8,3627.22
29,2025-10-06,Cliente_046,Tablet,Celulares,Norte,5,1615.18
